"","manufacturer","model","year_built","serial_number","date","auction_price","condition","country_code","start_date"
"1","Company X","Model-A",1982,268025,2010-01-22,97554,"U","US","20100122"
"2","Company X","Model-A",1982,268025,2001-10-08,67554,"U","US","20011008"
"3","Company X","Model-A",1982,268025,2018-03-24,86231,"U","US","20180324"
"4","Company X","Model-A",1982,268025,2001-01-31,58538,"U","US","20010131"
"5","Company X","Model-A",1982,268025,2009-04-25,78773,"U","US","20090425"
"6","Company X","Model-A",1982,268025,2015-05-16,22288,"U","US","20150516"
"7","Company X","Model-A",1982,268025,1991-05-04,58296,"U","US","19910504"
"8","Company X","Model-A",1982,268025,2004-01-27,52389,"U","US","20040127"
"9","Company X","Model-A",1982,268025,1993-02-05,16264,"U","US","19930205"
"10","Company X","Model-A",1982,268025,1996-09-09,56519,"U","US","19960909"
"11","Company X","Model-A",1982,268025,1997-04-21,92574,"U","US","19970421"
"12","Company X","Model-A",1982,268025,2006-12-08,25602,"U","US","20061208"
"13","Company X","Model-A",1982,268025,1990-08-23,69949,"U","US","19900823"
"14","Company X","Model-A",1982,268025,2002-08-17,17131,"U","US","20020817"
"15","Company X","Model-A",1982,268025,2015-04-27,31029,"U","US","20150427"
"16","Company X","Model-A",1983,865465,1992-01-15,32777,"U","US","19920115"
"17","Company X","Model-A",1983,865465,2012-01-11,11545,"U","US","20120111"
"18","Company X","Model-A",1983,865465,2007-01-06,21004,"U","US","20070106"
"19","Company X","Model-A",1983,865465,2006-04-22,10910,"U","US","20060422"
"20","Company X","Model-A",1983,865465,1995-05-20,76232,"U","US","19950520"
"21","Company X","Model-A",1983,865465,2008-12-21,55037,"U","US","20081221"
"22","Company X","Model-A",1983,865465,2008-01-27,16154,"U","US","20080127"
"23","Company X","Model-A",1983,865465,2004-10-26,47424,"U","US","20041026"
"24","Company X","Model-A",1983,865465,2004-05-13,74917,"U","US","20040513"
"25","Company X","Model-A",1983,865465,1996-05-26,39253,"U","US","19960526"
"26","Company X","Model-A",1983,865465,2004-04-06,18987,"U","US","20040406"
"27","Company X","Model-A",1983,865465,2008-10-31,65957,"U","US","20081031"
"28","Company X","Model-A",1983,865465,2018-10-14,85347,"U","US","20181014"
"29","Company X","Model-A",1983,865465,2007-07-12,95342,"U","US","20070712"
"30","Company X","Model-A",1983,865465,2001-05-29,93346,"U","US","20010529"
"31","Company X","Model-B",1981,920664,2002-03-17,20681,"U","US","20020317"
"32","Company X","Model-B",1981,920664,2014-09-11,14548,"U","US","20140911"
"33","Company X","Model-B",1981,920664,1995-10-20,84716,"U","US","19951020"
"34","Company X","Model-B",1981,920664,1991-01-18,31571,"U","US","19910118"
"35","Company X","Model-B",1981,920664,1994-02-02,36807,"U","US","19940202"
"36","Company X","Model-B",1981,920664,2017-11-19,33965,"U","US","20171119"
"37","Company X","Model-B",1981,920664,2004-06-18,30402,"U","US","20040618"
"38","Company X","Model-B",1981,920664,1993-04-01,50183,"U","US","19930401"
"39","Company X","Model-B",1981,920664,2000-01-28,18379,"U","US","20000128"
"40","Company X","Model-B",1981,920664,1998-08-09,75990,"U","US","19980809"
"41","Company X","Model-B",1981,920664,2009-09-12,71321,"U","US","20090912"
"42","Company X","Model-B",1981,920664,2017-05-02,34299,"U","US","20170502"
"43","Company X","Model-B",1981,920664,1998-08-04,14663,"U","US","19980804"
"44","Company X","Model-B",1981,920664,2017-12-21,19043,"U","US","20171221"
"45","Company X","Model-B",1981,920664,2015-08-05,19595,"U","US","20150805"
"46","Company X","Model-B",1988,529749,1995-02-16,26085,"U","US","19950216"
"47","Company X","Model-B",1988,529749,2019-05-24,30797,"U","US","20190524"
"48","Company X","Model-B",1988,529749,2009-10-17,59803,"U","US","20091017"
"49","Company X","Model-B",1988,529749,1991-01-27,84186,"U","US","19910127"
"50","Company X","Model-B",1988,529749,2012-09-06,90491,"U","US","20120906"
"51","Company X","Model-B",1988,529749,1992-07-13,78869,"U","US","19920713"
"52","Company X","Model-B",1988,529749,2010-02-11,88732,"U","US","20100211"
"53","Company X","Model-B",1988,529749,2014-08-21,51623,"U","US","20140821"
"54","Company X","Model-B",1988,529749,1993-03-16,22498,"U","US","19930316"
"55","Company X","Model-B",1988,529749,1992-07-09,41676,"U","US","19920709"
"56","Company X","Model-B",1988,529749,2000-05-30,32125,"U","US","20000530"
"57","Company X","Model-B",1988,529749,2011-06-06,68749,"U","US","20110606"
"58","Company X","Model-B",1988,529749,2004-10-25,30783,"U","US","20041025"
"59","Company X","Model-B",1988,529749,1995-11-15,54042,"U","US","19951115"
"60","Company X","Model-B",1988,529749,1997-02-12,61596,"U","US","19970212"
"61","Company Y","Model-C",1982,964599,2018-02-16,40170,"U","US","20180216"
"62","Company Y","Model-C",1982,964599,1999-08-12,70488,"U","US","19990812"
"63","Company Y","Model-C",1982,964599,2019-03-25,44097,"U","US","20190325"
"64","Company Y","Model-C",1982,964599,2003-02-08,95737,"U","US","20030208"
"65","Company Y","Model-C",1982,964599,1994-01-11,69706,"U","US","19940111"
"66","Company Y","Model-C",1982,964599,2009-12-30,51423,"U","US","20091230"
"67","Company Y","Model-C",1982,964599,1993-04-19,95358,"U","US","19930419"
"68","Company Y","Model-C",1982,964599,2010-12-17,38955,"U","US","20101217"
"69","Company Y","Model-C",1982,964599,2006-06-10,28138,"U","US","20060610"
