"","salespriceamount","importparcelid","sqft","documentdate"
"1",622340,3384,1101,2015-12-28
"2",520705,8292,3637,1999-12-22
"3",663992,9989,5744,2011-01-05
"4",513907,9123,2260,2015-06-26
"5",944886,2356,6169,1995-11-02
"6",604472,3965,5135,2010-11-28
"7",257271,1518,7295,2017-04-30
"8",814317,3366,5128,1999-12-11
"9",507522,6705,5137,2013-05-29
"10",974952,8818,6879,2006-09-22
"11",326710,6883,8039,2015-08-18
"12",100985,9982,6998,1999-10-23
"13",822452,6101,7797,2009-08-19
"14",325890,3985,8094,2018-03-17
"15",508028,9005,1195,2000-09-24
"16",683461,6496,3573,2000-06-02
"17",909703,7969,8034,1991-02-22
"18",142906,1982,6330,1999-06-12
"19",673259,9966,3560,1999-07-24
"20",159964,2641,9707,2014-12-23
"21",950875,3696,8881,2012-08-27
"22",824964,7283,6923,2002-12-01
"23",398565,8494,8709,2009-08-05
"24",636860,6147,3524,2014-02-18
"25",467606,1231,5101,1996-04-09
"26",292258,8618,6999,2018-10-12
"27",482427,7980,7317,1991-05-21
"28",264947,7180,1113,1994-04-28
"29",952360,5680,9445,2009-12-18
"30",665504,1839,6857,2009-02-05
"31",359700,3040,5410,2012-11-15
"32",959893,6485,6671,1990-08-31
"33",649622,1295,3104,1993-10-28
"34",374789,2059,9730,2008-05-16
"35",310834,9143,7614,2002-03-01
"36",290875,7382,2810,1993-01-19
"37",624772,1460,2471,1991-08-09
"38",778696,7422,3958,2007-08-31
"39",587463,8263,8364,1998-03-24
"40",241277,3061,4637,2008-04-12
"41",762824,3384,1101,2008-05-16
"42",574625,8292,3637,1999-05-18
"43",416224,9989,5744,1997-07-19
"44",274758,9123,2260,1996-04-22
"45",246436,2356,6169,2002-01-20
"46",806473,3965,5135,2017-11-28
"47",915029,1518,7295,1996-12-02
"48",773024,3366,5128,2002-09-17
"49",185829,6705,5137,2014-09-04
"50",927068,8818,6879,2014-09-05
"51",954222,6883,8039,2001-07-11
"52",118479,9982,6998,1995-02-02
"53",345319,6101,7797,2007-02-14
"54",615784,3985,8094,2010-01-09
"55",785220,9005,1195,2002-03-14
"56",996739,6496,3573,2002-05-21
"57",480100,7969,8034,1994-09-06
"58",767100,1982,6330,2012-09-13
"59",750545,9966,3560,2015-04-26
"60",950805,2641,9707,1996-10-02
"61",857392,3696,8881,2005-08-24
"62",228152,7283,6923,2019-03-12
"63",203043,8494,8709,2015-08-03
"64",953572,6147,3524,2000-05-12
"65",796699,1231,5101,2000-07-07
"66",482158,8618,6999,2016-04-05
"67",329815,7980,7317,1994-03-03
"68",431926,7180,1113,2003-06-17
"69",196223,5680,9445,2016-11-07
"70",516725,1839,6857,2014-02-25
"71",693444,3040,5410,1991-05-03
"72",372850,6485,6671,2017-08-25
"73",203596,1295,3104,1996-03-28
"74",520948,2059,9730,1996-07-07
"75",552405,9143,7614,2012-12-15
"76",960184,7382,2810,1999-03-28
"77",572184,1460,2471,2000-02-04
"78",275381,7422,3958,2008-05-13
"79",460103,8263,8364,2010-12-12
"80",989494,3061,4637,2002-06-12
"81",239366,3384,1101,1999-03-05
"82",237740,8292,3637,2004-03-03
"83",603179,9989,5744,1994-08-29
"84",173504,9123,2260,1997-09-22
"85",670804,2356,6169,1998-07-31
"86",550025,3965,5135,1994-05-26
"87",896127,1518,7295,2007-07-20
"88",818896,3366,5128,2006-06-09
"89",210398,6705,5137,2007-05-17
"90",855501,8818,6879,2009-03-19
"91",740718,6883,8039,1999-07-05
"92",321949,9982,6998,1995-04-28
"93",999846,6101,7797,1991-10-06
"94",449318,3985,8094,2002-01-23
"95",529214,9005,1195,2001-07-01
"96",138697,6496,3573,1994-11-01
"97",762243,7969,8034,2019-04-25
"98",830996,1982,6330,2014-10-24
"99",120207,9966,3560,2015-11-16
"100",307895,2641,9707,2011-05-15
"101",925598,3696,8881,2010-03-21
"102",200675,7283,6923,2011-05-30
"103",410237,8494,8709,2019-12-28
"104",243689,6147,3524,2015-04-10
"105",453106,1231,5101,2003-11-22
"106",332208,8618,6999,2005-11-04
"107",592988,7980,7317,2006-09-29
"108",187141,7180,1113,1995-10-29
"109",866346,5680,9445,1995-06-14
"110",458713,1839,6857,1996-03-07
"111",564911,3040,5410,2002-11-24
"112",852821,6485,6671,2007-09-10
"113",522632,1295,3104,2017-02-05
"114",967215,2059,9730,2005-03-22
"115",444717,9143,7614,2016-05-17
"116",340081,7382,2810,2003-08-26
"117",541832,1460,2471,1997-02-04
"118",629327,7422,3958,2005-12-04
"119",721665,8263,8364,2004-11-14
"120",456475,3061,4637,2000-04-30
