"","investment.date","company.id","firm.name","round.number","amount","valuation","equity.invested","equity","cum.inv.by.firm","max.cum.inv.by.firm","max.cum.inv.cum","lead.vc","lead.firm","lead.firm.1","lead.firm.2","lead.firm.3","lead.firm.4","lead.firm.5","lead.firm.6","lead.firm.7","lead.firm.8","lead.firm.9","lead.firm.10"
"1",1990-02-21,"Company A","Fund 1",1,9,24,1,10,1,1,1,TRUE,"Fund 1","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"2",1990-02-21,"Company A","Fund 10",1,2,26,1,10,1,1,1,TRUE,"Fund 10","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"3",1990-02-21,"Company A","Fund 2",1,5,25,1,10,1,1,1,TRUE,"Fund 2","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"4",1990-02-21,"Company A","Fund 3",1,1,28,1,10,1,1,1,TRUE,"Fund 3","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"5",1990-02-21,"Company A","Fund 4",1,6,21,1,10,1,1,1,TRUE,"Fund 4","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"6",1990-02-21,"Company A","Fund 5",1,6,25,1,10,1,1,1,TRUE,"Fund 5","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"7",1990-02-21,"Company A","Fund 6",1,9,23,1,10,1,1,1,TRUE,"Fund 6","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"8",1990-02-21,"Company A","Fund 7",1,4,37,1,10,1,1,1,TRUE,"Fund 7","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"9",1990-02-21,"Company A","Fund 8",1,9,32,1,10,1,1,1,TRUE,"Fund 8","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"10",1990-02-21,"Company A","Fund 9",1,7,33,1,10,1,1,1,TRUE,"Fund 9","Fund 1","Fund 10","Fund 2","Fund 3","Fund 4","Fund 5","Fund 6","Fund 7","Fund 8","Fund 9"
"11",1990-03-15,"Company A","Fund 1",2,6,26,9,58,10,10,10,TRUE,"Fund 1","Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"12",1990-03-15,"Company A","Fund 10",2,6,33,2,58,3,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"13",1990-03-15,"Company A","Fund 2",2,10,23,5,58,6,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"14",1990-03-15,"Company A","Fund 3",2,4,31,1,58,2,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"15",1990-03-15,"Company A","Fund 4",2,5,30,6,58,7,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"16",1990-03-15,"Company A","Fund 5",2,8,23,6,58,7,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"17",1990-03-15,"Company A","Fund 6",2,2,36,9,58,10,10,10,TRUE,"Fund 6","Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"18",1990-03-15,"Company A","Fund 7",2,4,24,4,58,5,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"19",1990-03-15,"Company A","Fund 8",2,10,27,9,58,10,10,10,TRUE,"Fund 8","Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"20",1990-03-15,"Company A","Fund 9",2,6,32,7,58,8,10,10,FALSE,NA,"Fund 1","Fund 6","Fund 8",NA,NA,NA,NA,NA,NA,NA
"21",1990-05-07,"Company A","Fund 1",3,6,26,15,119,25,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"22",1990-05-07,"Company A","Fund 10",3,8,39,8,119,11,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",1990-05-07,"Company A","Fund 2",3,10,40,15,119,21,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1990-05-07,"Company A","Fund 3",3,2,31,5,119,7,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"25",1990-05-07,"Company A","Fund 4",3,6,26,11,119,18,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
"26",1990-05-07,"Company A","Fund 5",3,9,37,14,119,21,29,29,FALSE,NA,"Fund 8",NA,NA,NA,NA,NA,NA,NA,NA,NA
