"investment.date","company.id","firm.name","round.number","amount","valuation","equity.invested"
1990-02-21,"Company A","Fund 1",1,9,24,1
1990-02-21,"Company A","Fund 2",1,5,25,1
1990-02-21,"Company A","Fund 3",1,1,28,1
1990-02-21,"Company A","Fund 4",1,6,21,1
1990-02-21,"Company A","Fund 5",1,6,25,1
1990-02-21,"Company A","Fund 6",1,9,23,1
1990-02-21,"Company A","Fund 7",1,4,37,1
1990-02-21,"Company A","Fund 8",1,9,32,1
1990-02-21,"Company A","Fund 9",1,7,33,1
1990-02-21,"Company A","Fund 10",1,2,26,1
1990-03-15,"Company A","Fund 1",2,6,26,9
1990-03-15,"Company A","Fund 2",2,10,23,5
1990-03-15,"Company A","Fund 3",2,4,31,1
1990-03-15,"Company A","Fund 4",2,5,30,6
1990-03-15,"Company A","Fund 5",2,8,23,6
1990-03-15,"Company A","Fund 6",2,2,36,9
1990-03-15,"Company A","Fund 7",2,4,24,4
1990-03-15,"Company A","Fund 8",2,10,27,9
1990-03-15,"Company A","Fund 9",2,6,32,7
1990-03-15,"Company A","Fund 10",2,6,33,2
1990-05-07,"Company A","Fund 1",3,6,26,15
1990-05-07,"Company A","Fund 2",3,10,40,15
1990-05-07,"Company A","Fund 3",3,2,31,5
1990-05-07,"Company A","Fund 4",3,6,26,11
1990-05-07,"Company A","Fund 5",3,9,37,14
1990-05-07,"Company A","Fund 6",3,5,35,11
1990-05-07,"Company A","Fund 7",3,9,22,8
1990-05-07,"Company A","Fund 8",3,10,29,19
1990-05-07,"Company A","Fund 9",3,5,37,13
1990-05-07,"Company A","Fund 10",3,8,39,8
1990-07-23,"Company A","Fund 1",4,1,30,21
1990-07-23,"Company A","Fund 2",4,9,26,25
1990-07-23,"Company A","Fund 3",4,9,25,7
1990-07-23,"Company A","Fund 4",4,7,30,17
1990-07-23,"Company A","Fund 5",4,8,22,23
1990-07-23,"Company A","Fund 6",4,3,29,16
1990-07-23,"Company A","Fund 7",4,2,39,17
1990-07-23,"Company A","Fund 8",4,4,36,29
1990-07-23,"Company A","Fund 9",4,9,33,18
1990-07-23,"Company A","Fund 10",4,3,34,16
1990-09-16,"Company A","Fund 1",5,5,34,22
1990-09-16,"Company A","Fund 2",5,8,40,34
1990-09-16,"Company A","Fund 3",5,1,25,16
1990-09-16,"Company A","Fund 4",5,3,26,24
1990-09-16,"Company A","Fund 5",5,2,23,31
1990-09-16,"Company A","Fund 6",5,3,29,19
1990-09-16,"Company A","Fund 7",5,9,27,19
1990-09-16,"Company A","Fund 8",5,9,35,33
1990-09-16,"Company A","Fund 9",5,10,29,27
1990-09-16,"Company A","Fund 10",5,9,35,19
1990-10-20,"Company A","Fund 1",6,9,21,27
1990-10-20,"Company A","Fund 2",6,1,34,42
1990-10-20,"Company A","Fund 3",6,3,35,17
1990-10-20,"Company A","Fund 4",6,3,30,27
1990-10-20,"Company A","Fund 5",6,9,35,33
1990-10-20,"Company A","Fund 6",6,5,23,22
1990-10-20,"Company A","Fund 7",6,4,38,28
1990-10-20,"Company A","Fund 8",6,7,21,42
1990-10-20,"Company A","Fund 9",6,4,32,37
1990-10-20,"Company A","Fund 10",6,6,29,28
1991-01-14,"Company A","Fund 1",7,9,24,36
1991-01-14,"Company A","Fund 2",7,1,23,43
1991-01-14,"Company A","Fund 3",7,7,34,20
1991-01-14,"Company A","Fund 4",7,10,34,30
1991-01-14,"Company A","Fund 5",7,1,31,42
1991-01-14,"Company A","Fund 6",7,6,28,27
1991-01-14,"Company A","Fund 7",7,5,37,32
1991-01-14,"Company A","Fund 8",7,4,28,49
1991-01-14,"Company A","Fund 9",7,6,33,41
1991-01-14,"Company A","Fund 10",7,4,37,34
1991-01-30,"Company A","Fund 1",8,3,34,45
1991-01-30,"Company A","Fund 2",8,5,37,44
1991-01-30,"Company A","Fund 3",8,2,30,27
1991-01-30,"Company A","Fund 4",8,7,38,40
1991-01-30,"Company A","Fund 5",8,6,24,43
1991-01-30,"Company A","Fund 6",8,8,29,33
1991-01-30,"Company A","Fund 7",8,2,23,37
1991-01-30,"Company A","Fund 8",8,2,23,53
1991-01-30,"Company A","Fund 9",8,1,32,47
1991-01-30,"Company A","Fund 10",8,4,21,38
1991-02-06,"Company A","Fund 1",9,1,31,48
1991-02-06,"Company A","Fund 2",9,1,21,49
1991-02-06,"Company A","Fund 3",9,3,37,29
1991-02-06,"Company A","Fund 4",9,3,35,47
1991-02-06,"Company A","Fund 5",9,7,35,49
1991-02-06,"Company A","Fund 6",9,2,23,41
1991-02-06,"Company A","Fund 7",9,1,32,39
1991-02-06,"Company A","Fund 8",9,8,33,55
1991-02-06,"Company A","Fund 9",9,7,40,48
1991-02-06,"Company A","Fund 10",9,8,32,42
1991-02-14,"Company A","Fund 1",10,10,29,49
1991-02-14,"Company A","Fund 2",10,10,32,50
1991-02-14,"Company A","Fund 3",10,9,36,32
