Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"@mobil.com, Inc.",05/01/1997,C900303519,7372,334611,1,5.00,14.20,2,Olympic Venture Partners,"Olympic Venture Partners IV, L.P.",2.50
"@mobil.com, Inc.",05/01/1997,C900303519,7372,334611,1,5.00,14.20,2,Sutter Hill Ventures,Sutter Hill Ventures,2.50
"@plan., Inc",07/01/1996,C000064101,7319,541890,1,0.45,0.95,3,Massey Burch Capital Corp,Massey Burch Venture Fund I,0.20
"@plan., Inc",07/01/1996,C000064101,7319,541890,1,0.45,0.95,3,Richland Ventures,Richland Ventures,0.20
"@plan., Inc",07/01/1996,C000064101,7319,541890,1,0.45,0.95,3,Undisclosed Firm,Undisclosed Fund,-
"@plan., Inc",10/01/1996,C000064101,7319,541890,2,4.03,5.93,3,Massey Burch Capital Corp,Massey Burch Capital Corporation - Unspecified Fund,-
"@plan., Inc",10/01/1996,C000064101,7319,541890,2,4.03,5.93,3,Massey Burch Capital Corp,Massey Burch Venture Fund I,1.80
"@plan., Inc",10/01/1996,C000064101,7319,541890,2,4.03,5.93,3,Richland Ventures,Richland Ventures,1.80
"@Road, Inc.",01/01/1997,C000073507,7372,511210,1,2.48,3.96,1,Undisclosed Firm,Undisclosed Fund,-
"2Bridge Software, Inc.",01/17/1997,C900183254,7372,334611,1,3.38,14.49,3,"New Enterprise Associates, Inc.",NEA Presidents Fund,0.07
"2Bridge Software, Inc.",01/17/1997,C900183254,7372,334611,1,3.38,14.49,3,"New Enterprise Associates, Inc.",New Enterprise Associates VII,3.30
"2Bridge Software, Inc.",01/17/1997,C900183254,7372,334611,1,3.38,14.49,3,Undisclosed Firm,Undisclosed Fund,-
2order.com,10/14/1997,C901267982,-,334611,1,3.50,9.00,2,Intelligent Systems Corp,Intelligent Systems Corporation - Unspecified Fund,-
2order.com,10/14/1997,C901267982,-,334611,1,3.50,9.00,2,Oak Investment Partners,Oak Investment Partners - Unspecified Fund,3.00
"3Dfx Interactive, Inc.",01/01/1995,C000031322,3674,334413,1,5.50,8.80,4,Charter Venture Capital,Charter Ventures II,0.35
"3Dfx Interactive, Inc.",01/01/1995,C000031322,3674,334413,1,5.50,8.80,4,"Mitsui & Co. Global Investment, Ltd.","Mitsui & Co, Ltd.",-
"3Dfx Interactive, Inc.",01/01/1995,C000031322,3674,334413,1,5.50,8.80,4,U.S. Venture Partners,U.S. Venture Partners - Unspecified Fund,1.69
"3Dfx Interactive, Inc.",01/01/1995,C000031322,3674,334413,1,5.50,8.80,4,Venrock Inc,Venrock Associates,1.95
