Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"@Road, Inc.",07/17/2000,C000073507,7372,511210,5,21.00,383.27,4,"ABS Capital Partners, Inc.","ABS Capital Partners III, L.P.",10.00
"@Road, Inc.",07/17/2000,C000073507,7372,511210,5,21.00,383.27,4,ADMIRAL CAPITAL ENTERPRISES,Admiral Ventures,5.00
"@Road, Inc.",07/17/2000,C000073507,7372,511210,5,21.00,383.27,4,Intel Capital Corp,Intel Corporation,-
"@Road, Inc.",07/17/2000,C000073507,7372,511210,5,21.00,383.27,4,WI Harper Group Inc,International Network Capital Corporation LDC Funds - DIF,0.06
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Battery Ventures LP,"Battery Ventures Convergence Fund, L.P.",0.73
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Battery Ventures LP,"Battery Ventures V, L.P.",7.25
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Madison Dearborn Partners LLC,Madison Dearborn Partners LLC - Unspecified Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",10/16/2000,C900073981,7379,541519,4,25.60,101.00,10,Undisclosed Firm,Undisclosed Fund,-
