Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
@Japan Media LLC,04/01/2001,C901230228,6799,523999,1,10.23,10.23,1,"H&Q Asia Pacific, Ltd.",Asia Pacific Growth Fund III,10.23
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,TPG Capital Management LP,"Tarrant-ACON Venture Partners, L.P.",-
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Undisclosed Firm,Undisclosed Fund,-
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Vantagepoint Management Inc,"VantagePoint Communications Partners, L.P.",0.45
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Vantagepoint Management Inc,VantagePoint Venture Partners III,1.20
"@TheMoment, Inc.",07/01/2001,C901291144,7375,519130,5,7.00,19.00,5,Voyager Capital LLC,"Voyager Capital Fund II, L.P.",3.60
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Adams Street Partners LLC,BVCF IV,1.00
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Canaan Partners,Canaan Partners - Unspecified Fund,0.70
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,CMEA Development Company LLC,"CMEA Ventures Information Technology II, L.P.",0.19
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,MVC Capital Inc,MVC (FKA; meVC Draper Fisher Jurvetson Fund I),4.00
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Sigma Partners,Sigma Partners - Unspecified Fund,-
"0-In Design Automation, Inc.",11/30/2001,C900385280,7372,511210,5,8.00,28.43,6,Sprout Group,Sprout Group - Unspecified Fund,0.56
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Armada Investment Group AG,Armada Venture Group - Unspecified Fund,-
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Imlay Investments,Imlay Investments - Unspecified Fund,-
"180Commerce, Inc.",02/21/2001,C901171587,-,-,2,3.10,6.10,3,Undisclosed Firm,Undisclosed Fund,-
"180Commerce, Inc.",10/31/2001,C901171587,-,-,3,1.50,6.10,2,Armada Investment Group AG,Armada Venture Group - Unspecified Fund,1.00
"180Commerce, Inc.",10/31/2001,C901171587,-,-,3,1.50,6.10,2,Imlay Investments,Imlay Investments - Unspecified Fund,0.50
2PM Technologies Ltd,12/20/2001,C901371078,-,-,1,2.97,14.86,1,Icc Venture Capital,ICC Private Equity Fund 1999,2.97
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Accel Partners & Co Inc,Accel Partners - Unspecified Fund,5.03
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Bellsouth Corp,Bell South Ventures Corp.,3.00
"2Wire, Inc.",06/21/2001,C900037795,3577,334119,4,64.80,157.10,17,Invesco Private Capital Inc,Chancellor V,1.60
