Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"@mobil.com, Inc.",03/31/1999,C900303519,7372,334611,3,4.00,14.40,2,Olympic Venture Partners,"Olympic Venture Partners IV, L.P.",-
"@mobil.com, Inc.",08/31/1999,C900303519,7372,334611,4,3.01,12.00,3,Olympic Venture Partners,"Olympic Venture Partners IV, L.P.",0.50
"@mobil.com, Inc.",08/31/1999,C900303519,7372,334611,4,3.01,12.00,3,PERENNIAL VENTURES L P,Perennial Ventures - Unspecified Fund,2.00
"@mobil.com, Inc.",08/31/1999,C900303519,7372,334611,4,3.01,12.00,3,Undisclosed Firm,Undisclosed Fund,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,Dialogic Communications Corp,Dialogic Communications Corp.,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,Doll Capital Management Inc,Doll Capital Management - Unspecified Fund,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,T-Venture Holding GmbH,Global IT-Venture Fund (GITV) B.V. Amsterdam,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,Intel Capital Corp,Intel Corporation,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,Parker Price Venture Capital Inc.,Strategic Value Fund I,-
"@Motion, Inc.",03/01/1999,C901290518,7375,519130,3,10.00,23.85,6,Undisclosed Firm,Undisclosed Fund,1.50
"@Outcome, Inc.",06/29/1999,C901378355,7375,519130,2,15.00,52.50,3,Batterson Venture Capital,Batterson Venture Capital - Unspecified Fund,0.13
"@Outcome, Inc.",06/29/1999,C901378355,7375,519130,2,15.00,52.50,3,Sulzer AG,Sulzer Ltd,5.00
"@Outcome, Inc.",06/29/1999,C901378355,7375,519130,2,15.00,52.50,3,Undisclosed Firm,Undisclosed Fund,-
"@Outcome, Inc.",08/02/1999,C901378355,7375,519130,3,7.50,52.50,4,Batterson Venture Capital,Batterson Venture Capital - Unspecified Fund,5.00
"@Outcome, Inc.",08/02/1999,C901378355,7375,519130,3,7.50,52.50,4,Sulzer AG,Sulzer Ltd,-
"@Outcome, Inc.",08/02/1999,C901378355,7375,519130,3,7.50,52.50,4,Undisclosed Firm,Undisclosed Fund,-
"@Outcome, Inc.",08/02/1999,C901378355,7375,519130,3,7.50,52.50,4,Undisclosed Firm,Undisclosed Fund,-
"@Road, Inc.",06/11/1999,C000073507,7372,511210,3,23.20,84.69,5,"ABS Capital Partners, Inc.","ABS Capital Partners III, L.P.",5.50
"@Road, Inc.",06/11/1999,C000073507,7372,511210,3,23.20,84.69,5,ADMIRAL CAPITAL ENTERPRISES,Admiral Ventures,5.00
"@Road, Inc.",06/11/1999,C000073507,7372,511210,3,23.20,84.69,5,Galleon Group,Galleon Group - Unspecified Fund,-
"@Road, Inc.",06/11/1999,C000073507,7372,511210,3,23.20,84.69,5,Institutional Venture Partners,Institutional Venture Partners - Unspecified Fund,4.80
"@Road, Inc.",06/11/1999,C000073507,7372,511210,3,23.20,84.69,5,U.S. Venture Partners,U.S. Venture Partners - Unspecified Fund,4.80
12degrees,06/01/1999,C903102664,-,-,1,2.26,10.00,2,"Angel Investors, LP","Angel Investors, LP - Unspecified Fund",-
12degrees,06/01/1999,C903102664,-,-,1,2.26,10.00,2,Undisclosed Firm,Undisclosed Fund,-
"1-800-Flowers.com, Inc.",05/01/1999,C000065081,5992,453110,2,101.60,606.00,3,Benchmark Capital Management Gesellschaft MBH In Liqu,Benchmark Capital II,-
"1-800-Flowers.com, Inc.",05/01/1999,C000065081,5992,453110,2,101.60,606.00,3,Pliant Corp,Chase Venture Capital Associates,-
"1-800-Flowers.com, Inc.",05/01/1999,C000065081,5992,453110,2,101.60,606.00,3,Softbank Capital Partners L P,SOFTBANK Capital Partners,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,ABS Ventures,ABS Ventures - Unspecified Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Arbor Partners LLC,Arbor Partners LLC - Unspecified Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Windspeed Ventures,Comdisco Ventures Fund A LLC,0.25
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,FW Ventures,"FW Ventures I, L.P.",-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Goldman Sachs & Co,"GS Capital Partners II, L.P.",-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,"New Enterprise Associates, Inc.",New Enterprise Associates VII,2.00
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Undisclosed Firm,Undisclosed Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Undisclosed Firm,Undisclosed Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Undisclosed Firm,Undisclosed Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Undisclosed Firm,Undisclosed Fund,-
"2Bridge Software, Inc.",08/09/1999,C900183254,7372,334611,3,19.98,80.87,11,Undisclosed Firm,Undisclosed Fund,-
"2nd Century Communications, Inc",06/25/1999,C900563208,-,-,2,20.00,100.00,6,Accel Partners & Co Inc,Accel Partners - Unspecified Fund,1.49
