Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"@mobil.com, Inc.",02/18/2000,C900303519,7372,334611,5,19.00,100.00,3,J & W Seligman and Co Inc,J&W Seligman & Company,10.00
"@mobil.com, Inc.",02/18/2000,C900303519,7372,334611,5,19.00,100.00,3,PERENNIAL VENTURES L P,TGI Fund I (FKA: Tredegar Investments Fund I),1.00
"@mobil.com, Inc.",02/18/2000,C900303519,7372,334611,5,19.00,100.00,3,Watershed Capital I L L C,Watershed Capital - Unspecified Fund,-
"@Road, Inc.",01/01/2000,C000073507,7372,511210,4,31.82,297.73,5,"ABS Capital Partners, Inc.","ABS Capital Partners III, L.P.",2.00
"@Road, Inc.",01/01/2000,C000073507,7372,511210,4,31.82,297.73,5,ADMIRAL CAPITAL ENTERPRISES,Admiral Ventures,5.00
"@Road, Inc.",01/01/2000,C000073507,7372,511210,4,31.82,297.73,5,Institutional Venture Partners,Institutional Venture Partners - Unspecified Fund,6.00
"@Road, Inc.",01/01/2000,C000073507,7372,511210,4,31.82,297.73,5,U.S. Venture Partners,U.S. Venture Partners - Unspecified Fund,6.00
"@Road, Inc.",01/01/2000,C000073507,7372,511210,4,31.82,297.73,5,Undisclosed Firm,Undisclosed Fund,-
"@Stake, Inc.",01/06/2000,C900073981,7379,541519,3,10.00,15.15,1,Battery Ventures LP,Battery Ventures - Unspecified Fund,-
"@TheMoment, Inc.",06/14/2000,C901291144,7375,519130,3,10.00,50.00,5,Windspeed Ventures,Comdisco Ventures Fund A LLC,-
"@TheMoment, Inc.",06/14/2000,C901291144,7375,519130,3,10.00,50.00,5,"RVC Europe, Ltd.",Reuters Greenhouse Fund (RVC 1),-
"@TheMoment, Inc.",06/14/2000,C901291144,7375,519130,3,10.00,50.00,5,TPG Capital Management LP,"Tarrant-ACON Venture Partners, L.P.",-
"@TheMoment, Inc.",06/14/2000,C901291144,7375,519130,3,10.00,50.00,5,Undisclosed Firm,Undisclosed Fund,-
"@TheMoment, Inc.",06/14/2000,C901291144,7375,519130,3,10.00,50.00,5,Vantagepoint Management Inc,"VantagePoint Communications Partners, L.P.",0.83
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,Adams Street Partners LLC,Brinson Partnership Fund Program- 2000,1.00
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,Canaan Partners,Canaan Partners - Unspecified Fund,0.94
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,CMEA Development Company LLC,"CMEA Ventures Information Technology II, L.P.",-
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,Sigma Partners,Sigma Partners - Unspecified Fund,-
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,Skywood Ventures LLC,Skywood Ventures - Unspecified Fund,-
"0-In Design Automation, Inc.",06/16/2000,C900385280,7372,511210,4,7.00,38.00,6,Sprout Group,Sprout Capital VIII,0.52
110sport Management Ltd (Fka  Sportsmasters Network  Ltd),01/01/2000,C901274924,-,-,1,16.00,72.49,3,Undisclosed Firm,Undisclosed Fund,-
110sport Management Ltd (Fka  Sportsmasters Network  Ltd),01/01/2000,C901274924,-,-,1,16.00,72.49,3,Warburg Pincus LLC,"Warburg Pincus Equity Partners, L.P.",7.97
110sport Management Ltd (Fka  Sportsmasters Network  Ltd),01/01/2000,C901274924,-,-,1,16.00,72.49,3,Warburg Pincus LLC,"Warburg Pincus Ventures International, L.P.",7.97
123signup Ams  Inc,03/03/2000,C901378399,-,-,1,9.50,24.50,2,ONSET Ventures,"ONSET IV, L.P.",5.00
123signup Ams  Inc,03/03/2000,C901378399,-,-,1,9.50,24.50,2,Scale Venture Partners,Scale Venture Partners - Unspecified Fund,-
