Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
"@Road, Inc.",09/05/2002,C000073507,7372,511210,7,3.80,220.95,1,U.S. Venture Partners,"U.S. Venture Partners VII, L.P.",3.80
180solutions,03/25/2004,C902354247,7375,511210,1,20.00,80.00,2,Spectrum Equity Investors LP,"Spectrum Equity Investors III, L.P.",2.00
180solutions,03/25/2004,C902354247,7375,511210,1,20.00,80.00,2,Spectrum Equity Investors LP,"Spectrum Equity Investors IV, LP",18.00
24/7 Customer Inc,07/24/2003,C901491307,7372,511210,1,22.00,36.84,2,Sequoia Capital,Sequoia Capital - Unspecified Fund,-
24/7 Customer Inc,07/24/2003,C901491307,7372,511210,1,22.00,36.84,2,Undisclosed Firm,Undisclosed Fund,-
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Doll Capital Management Inc,DCM II Annex Fund,0.26
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Doll Capital Management Inc,Doll Technology Investment Fund II,0.21
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,GGV Capital,Granite Global Ventures,0.50
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Invesco Private Capital Inc,INVESCO Private Capital - Unspecified Fund,-
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Oak Investment Partners,Oak Investment Partners VIII,3.92
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Oak Investment Partners,"Oak Investment Partners X, L.P.",7.87
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Oak Investment Partners,"Oak VIII Affiliates Fund, LP",0.08
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Oak Investment Partners,"Oak X Affiliates Fund, LP",-
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Liberty Ridge Capital LLC,Pilgrim Baxter & Associates - Unspecified Fund,1.20
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,SHELL Internet Ventures BV,Shell Internet Ventures BV - Unspecified Fund,-
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Technology Crossover Ventures LP,"Technology Crossover Ventures IV, L.P.",5.00
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Undisclosed Firm,Undisclosed Fund,-
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Venrock Inc,Venrock Associates,1.64
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Venrock Inc,"Venrock Associates II, L.P.",2.36
"2Wire, Inc.",11/15/2002,C900037795,3577,334119,5,27.50,50.00,15,Weber Capital Management LLC,Weber Capital Management - Unspecified Fund,-
3vr Security Inc,06/16/2004,C901678377,7382,334515,1,5.35,8.83,1,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,-
401Konnect Inc,09/12/2002,C901178146,-,-,3,0.83,2.75,2,SBV Venture Partners,"Sigefi, Burnette & Vallee I/IA (AKA:SBV I/IA)",0.75
401Konnect Inc,09/12/2002,C901178146,-,-,3,0.83,2.75,2,Undisclosed Firm,Undisclosed Fund,-
7thonline Inc,08/21/2003,C901364640,7372,511210,3,0.95,6.20,3,Stonehenge Growth Capital LLC,BOCNY LLC,0.03
7thonline Inc,08/21/2003,C901364640,7372,511210,3,0.95,6.20,3,Tribeca Venture Partners,"Silicon Alley Venture Partners, L.P.",0.03
7thonline Inc,08/21/2003,C901364640,7372,511210,3,0.95,6.20,3,Undisclosed Firm,Undisclosed Fund,-
A10 Networks Inc,11/01/2004,C902301142,7372,511210,1,7.00,12.24,2,Harbinger Venture Management,Harbinger Venture Management - Unspecified Fund,-
A10 Networks Inc,11/01/2004,C902301142,7372,511210,1,7.00,12.24,2,Triton Ventures,Triton Ventures - Unspecified Fund,-
"A4Vision, Inc.",03/24/2003,C901435631,7372,511210,2,3.10,12.00,4,Myqube Srl,EuroQube Fund,1.80
"A4Vision, Inc.",03/24/2003,C901435631,7372,511210,2,3.10,12.00,4,Hanna Ventures I LP,Hanna Ventures - Unspecified Fund,-
"A4Vision, Inc.",03/24/2003,C901435631,7372,511210,2,3.10,12.00,4,SUNRISE CAPITAL FUND II L L C,Sunrise Capital Fund - Unspecified Fund,-
"A4Vision, Inc.",03/24/2003,C901435631,7372,511210,2,3.10,12.00,4,Undisclosed Firm,Undisclosed Fund,-
Above All Software Inc,10/08/2002,C901629303,7372,511210,1,6.50,16.00,5,Adobe Systems Inc,"Adobe Systems, Inc. - Unspecified Fund",-
Above All Software Inc,10/08/2002,C901629303,7372,511210,1,6.50,16.00,5,Granite Ventures LLC,Adobe Ventures IV,1.50
Above All Software Inc,10/08/2002,C901629303,7372,511210,1,6.50,16.00,5,Granite Ventures LLC,"Granite Ventures, L.P.",1.50
Above All Software Inc,10/08/2002,C901629303,7372,511210,1,6.50,16.00,5,Pliant Corp,J.P. Morgan Partners - Unspecified Fund,3.00
Above All Software Inc,10/08/2002,C901629303,7372,511210,1,6.50,16.00,5,Sippl Macdonald Ventures,Sippl Macdonald Ventures-Unspecified Fund,-
Above All Software Inc,02/17/2004,C901629303,7372,511210,2,11.50,33.65,5,Adobe Systems Inc,"Adobe Systems, Inc. - Unspecified Fund",-
Above All Software Inc,02/17/2004,C901629303,7372,511210,2,11.50,33.65,5,Granite Ventures LLC,Granite Ventures LLC - Unspecified Fund,-
Above All Software Inc,02/17/2004,C901629303,7372,511210,2,11.50,33.65,5,Greylock Partners LLC,"Greylock XI, L.P.",4.75
Above All Software Inc,02/17/2004,C901629303,7372,511210,2,11.50,33.65,5,Pliant Corp,J.P. Morgan Partners - Unspecified Fund,-
Above All Software Inc,02/17/2004,C901629303,7372,511210,2,11.50,33.65,5,Sippl Macdonald Ventures,Sippl Macdonald Ventures-Unspecified Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,ABN AMRO Private Equity,ABN AMRO Private Equity - Unspecified Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Dka Capital A/S,Dansk Kapitalanlaeg A/S,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Pliant Corp,J.P. Morgan Partners - Unspecified Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,OrbiMed Advisors LLC,OrbiMed Advisors LLC - Unspecified Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Oxford Bioscience Partners,"Oxford Bioscience Partners IV, LP",12.50
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Undisclosed Firm,Undisclosed Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Undisclosed Firm,Undisclosed Fund,-
ACADIA Pharmaceuticals Inc,03/19/2003,C900186959,2836,325414,6,25.00,56.26,8,Undisclosed Firm,Undisclosed Fund,-
ACADIA Pharmaceuticals Inc,06/12/2003,C900186959,2836,325414,7,3.00,59.26,1,Coastview Capital LLC,Coastview Capital LLC,3.00
"AccelChip, Inc.",05/06/2003,C901192792,7372,334611,2,6.65,10.25,4,Arch Development Partners LLC,ARCH Development Fund I (ADF I),0.25
"AccelChip, Inc.",05/06/2003,C901192792,7372,334611,2,6.65,10.25,4,Greylock Partners LLC,"Greylock XI, L.P.",2.03
"AccelChip, Inc.",05/06/2003,C901192792,7372,334611,2,6.65,10.25,4,InterWest Partners LLC,InterWest Investors VIII,-
