Company Name,Investment Date,Company ID,SIC Code,NAIC Code ,Round Number,Equity Amount Disclosed (USD Mil),Valuation at Transaction Date (USD Mil),No. of Funds at Investment Date,Firm Name,Fund Name,Fund Known Equity Invested in Company at Investment Date (USD Mil)
1366 Technologies Inc,01/22/2010,C902897345,3674,334413,2,5.15,32.29,3,North Bridge Venture Partners LP,"North Bridge Venture Partners VI, L.P.",2.50
1366 Technologies Inc,01/22/2010,C902897345,3674,334413,2,5.15,32.29,3,Polaris Venture Partners,"Polaris Venture Partners V, L.P.",2.50
1366 Technologies Inc,01/22/2010,C902897345,3674,334413,2,5.15,32.29,3,Undisclosed Firm,Undisclosed Fund,-
1366 Technologies Inc,12/15/2010,C902897345,3674,334413,3,26.00,92.16,4,North Bridge Venture Partners LP,"North Bridge Venture Partners VI, L.P.",5.00
1366 Technologies Inc,12/15/2010,C902897345,3674,334413,3,26.00,92.16,4,Polaris Venture Partners,"Polaris Venture Partners V, L.P.",5.00
1366 Technologies Inc,12/15/2010,C902897345,3674,334413,3,26.00,92.16,4,Undisclosed Firm,Undisclosed Fund,-
1366 Technologies Inc,12/15/2010,C902897345,3674,334413,3,26.00,92.16,4,Ventizz Capital Partners Advisory AG,Ventizz Capital Fund IV LP,-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,GE Energy Financial Services Inc,GE Energy Financial Services - Unspecified Fund,-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,North Bridge Venture Partners LP,"North Bridge Venture Partners VI, L.P.",-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,Polaris Venture Partners,"Polaris Venture Partners V, L.P.",-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,Undisclosed Firm,Undisclosed Fund,-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,-
1366 Technologies Inc,01/14/2011,C902897345,3674,334413,4,2.40,94.98,6,Ventizz Capital Partners Advisory AG,Ventizz Capital Fund IV LP,-
1366 Technologies Inc,12/12/2013,C902897345,3674,334413,5,17.50,142.26,5,Energy Technology Ventures,Energy Technology Ventures Fund,-
1366 Technologies Inc,12/12/2013,C902897345,3674,334413,5,17.50,142.26,5,North Bridge Venture Partners LP,"North Bridge Venture Partners VI, L.P.",5.50
1366 Technologies Inc,12/12/2013,C902897345,3674,334413,5,17.50,142.26,5,Polaris Venture Partners,"Polaris Venture Partners V, L.P.",5.50
1366 Technologies Inc,12/12/2013,C902897345,3674,334413,5,17.50,142.26,5,Undisclosed Firm,Undisclosed Fund,-
1366 Technologies Inc,12/12/2013,C902897345,3674,334413,5,17.50,142.26,5,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,-
2080 Media Inc,09/07/2011,C903057791,7375,519130,5,7.20,19.54,2,Buckhead Investment Partners LLC,"BIP Opportunities Fund, L.P.",-
2080 Media Inc,09/07/2011,C903057791,7375,519130,5,7.20,19.54,2,Imlay Investments,Imlay Investments - Unspecified Fund,-
24M Technologies Inc,08/11/2010,C903326557,3691,335911,1,10.00,23.70,2,Charles River Ventures LLC,Charles River Ventures - Unspecified Fund,-
24M Technologies Inc,08/11/2010,C903326557,3691,335911,1,10.00,23.70,2,North Bridge Venture Partners LP,"North Bridge Venture Partners 7, L.P.",5.00
360 Degree Solar Holdings Inc,09/03/2009,C902346745,3674,334413,9,286.00,790.95,4,Argonaut Private Equity LLC,Argonaut Ventures I LLC,-
360 Degree Solar Holdings Inc,09/03/2009,C902346745,3674,334413,9,286.00,790.95,4,Redpoint Ventures,"Redpoint Omega, L.P.",-
360 Degree Solar Holdings Inc,09/03/2009,C902346745,3674,334413,9,286.00,790.95,4,Rockport Capital Partners,"RockPort Capital Partners III, L.P.",11.07
360 Degree Solar Holdings Inc,09/03/2009,C902346745,3674,334413,9,286.00,790.95,4,U.S. Venture Partners,U.S. Venture Partners - Unspecified Fund,27.00
"3D Marketing Technologies, Inc.",03/04/2009,C901715254,7372,511210,4,10.05,23.84,5,Bay Partners,"Bay Partners X Entrepreneurs Fund, L.P.",0.05
"3D Marketing Technologies, Inc.",03/04/2009,C901715254,7372,511210,4,10.05,23.84,5,Bay Partners,"Bay Partners X, L.P.",0.95
"3D Marketing Technologies, Inc.",03/04/2009,C901715254,7372,511210,4,10.05,23.84,5,Norwest Venture Partners,Norwest Venture Partners- Unspecified Fund,2.50
"3D Marketing Technologies, Inc.",03/04/2009,C901715254,7372,511210,4,10.05,23.84,5,U.S. Venture Partners,U.S. Venture Partners VIII,2.50
"3D Marketing Technologies, Inc.",03/04/2009,C901715254,7372,511210,4,10.05,23.84,5,Utah Ventures,"UV Partners IV, L.P.",-
3i Systems Corporation,04/30/2010,C902639335,3823,334513,3,5.00,34.10,2,Bluerun Ventures L P,"BlueRun Ventures III, L.P.",3.00
3i Systems Corporation,04/30/2010,C902639335,3823,334513,3,5.00,34.10,2,Shenzhen Capital Group Co Ltd,"Shenzhen Capital Group Co., Ltd. - Unspecified Fund",-
3vr Security Inc,08/05/2009,C901678377,7382,334515,6,-,43.32,4,Duff Ackerman & Goodrich LLC,Duff Ackerman & Goodrich LLC - Unspecified Fund,-
3vr Security Inc,08/05/2009,C901678377,7382,334515,6,-,43.32,4,Kleiner Perkins Caufield & Byers LLC,Kleiner Perkins Caufield & Byers - Unspecified Fund,-
3vr Security Inc,08/05/2009,C901678377,7382,334515,6,-,43.32,4,Menlo Ventures,Menlo Ventures - Unspecified Fund,6.10
3vr Security Inc,08/05/2009,C901678377,7382,334515,6,-,43.32,4,Vantagepoint Management Inc,VantagePoint Capital Partners - Unspecified Fund,11.40
3vr Security Inc,12/10/2010,C901678377,7382,334515,7,17.00,94.35,4,Duff Ackerman & Goodrich LLC,"DAG Ventures, L.P.",-
3vr Security Inc,12/10/2010,C901678377,7382,334515,7,17.00,94.35,4,Focus Ventures Ltd,Focus Ventures - Unspecified Fund,-
3vr Security Inc,12/10/2010,C901678377,7382,334515,7,17.00,94.35,4,Kleiner Perkins Caufield & Byers LLC,Kleiner Perkins Caufield & Byers - Unspecified Fund,-
3vr Security Inc,12/10/2010,C901678377,7382,334515,7,17.00,94.35,4,Menlo Ventures,Menlo Ventures - Unspecified Fund,9.50
41st Parameter Inc,12/17/2009,C901792774,7372,334611,4,1.85,63.11,3,Icon Ventures,JAFCO Technology Partners II,-
41st Parameter Inc,12/17/2009,C901792774,7372,334611,4,1.85,63.11,3,Kleiner Perkins Caufield & Byers LLC,Kleiner Perkins Caufield & Byers - Unspecified Fund,-
41st Parameter Inc,12/17/2009,C901792774,7372,334611,4,1.85,63.11,3,Norwest Venture Partners,Norwest Venture Partners IX,-
"4Home, Inc.",02/03/2010,C903038209,7371,541511,5,6.80,23.94,1,Pond Venture Partners Ltd,Pond Ventures III,-
8d World Inc,12/10/2010,C902961414,8299,611630,2,5.25,20.25,3,Gobi Partners,"Gobi Partners, Inc. - Unspecified Fund",-
8d World Inc,12/10/2010,C902961414,8299,611630,2,5.25,20.25,3,Mizuho Capital Co Ltd,"Mizuho Capital Co., Ltd. - Unspecified Fund",-
8d World Inc,12/10/2010,C902961414,8299,611630,2,5.25,20.25,3,Spark Capital,Spark Capital - Unspecified Fund,-
A10 Networks Inc,06/27/2013,C902301142,7372,511210,4,50.00,439.85,1,Summit Partners LP,Summit Partners - Unspecified Fund,-
A2M,02/28/2015,C903799159,3999,339999,2,0.55,4.05,2,Cottonwood Capital Partners LLC,Cottonwood Technology Fund II,0.28
A2M,02/28/2015,C903799159,3999,339999,2,0.55,4.05,2,Pangaea Ventures Ltd,Pangaea Ventures Fund LP,-
Abine Inc,07/12/2011,C903493631,7372,511210,1,6.47,11.67,2,Atlas Venture,Atlas Venture - Unspecified Fund,-
Abine Inc,07/12/2011,C903493631,7372,511210,1,6.47,11.67,2,General Catalyst Partners LLC,General Catalyst Partners LLC - Unspecified Fund,-
Acadiasoft Inc,01/08/2010,C902311679,7372,511210,1,4.00,11.14,2,Pliant Corp,J.P. Morgan Partners - Unspecified Fund,-
Acadiasoft Inc,01/08/2010,C902311679,7372,511210,1,4.00,11.14,2,Undisclosed Firm,Undisclosed Fund,-
Acceleron Pharma Inc,12/03/2009,C901629383,2836,325414,5,10.95,227.21,7,Advanced Technology Ventures,Advanced Technology Ventures VI,0.07
Acceleron Pharma Inc,12/03/2009,C901629383,2836,325414,5,10.95,227.21,7,Advanced Technology Ventures,Advanced Technology Ventures VII,0.42
